Group,Company,Demo Day Goal,[01/07/26]  - Two Week Goals,Progress / Notes 1,[01/21/26]  - Two Week Goals,Progress / Notes 2,[02/04/26]  - Two Week Goals,Progress / Notes 3,[02/18/26]  - Two Week Goals,Progress / Notes 4,[03/0426]  - Demo Day,Progress / Notes Final
8,NearWave,Newest device shipped to 10 new customers. $2M seed+ closed.,"Strategy meeting done w/ stakeholders, vB device completed, begin testing.",device testing strated [DONE]. vB still in progress.[IN PROG] Strategy meeting booked. [DONE],"-Demo next week.
-vB fully built out 
- 30 outreach emails on seed+",,,,,,,
8,10xR,10K MRR + >80% usage ,,,,,,,,,,
8,MedPiper,5k policies/month ($50k MRR),go live with D2C launch (move out of waitlist),product filed with regulator for approval [DONE],50 payouts. Investor deck prep,,,,,,,
8,35Financial,Autonomous loan/bank account opening,Account opening works end-to-end,Built account opening and loans. [Done] Unblocked 1.14.26 being able to call bank core to post in sandbox.  [In-progress],Record Demo. Get positioning tight.,,,,,,,
8,Marketfit.xyz,100 paid users ,"- release working v0.2 product and share with batchmates 
- use MarketFit to grow MarketFit and get 3 users
- set up Evals with real user data ",- 1/14 halfway building MVP for v0.2,,,,,,,,
8,Yuzu Labs,$30k mrr and 5 full launch programs sold $50k (80 customers? Is this possible) lol ,"Theme: discovery + alignment
- shift website, blurb, deck to video as GTM (turn any conversation into content that drives revenue)
- Identify the 1-2 icp's and start outreach on Linkedin DM's and Outbound email by monday 1/16
- 2 Product Flows for lead gen (source --> processing for script --> video gen)

- Record demo for 1/21 meeting

Feb - start growth with customers and tracking","- $10k in angel signed
- talked to users and tested on new messaging
- working on structuring the next few weeks through end of March, with 3/10 demo day
- Wrote one random viral linkedin ;) 
- Get 10 of our existing customers to use it regularly by end of month",,,,,,,,
9,Vespper,,,,,,,,,,,
9,Tendered,,,,,,,,,,,
9,MCPBundles.com,,,,,,,,,,,
9,Hey Telo,,,,,,,,,,,
10,Oversteer,,,,,,,,,,,
10,Bilanc,$16K MRR,$13K MRR,,,,,,,,,
10,Cuanto,Payment infra to process and pay out merchants in new countries,Year kickoff customer feedback quick wins — kill this list,,Unit economics clarity for expansion,,KYC + Merchant validation revamp for expansion,,Regional payins/payouts foundation,,,
10,Repacket,0 > 100K ARR (our YC demo day goal),Book 10-15 calls or kick off 1 pilot,,,,,,,,,
10,Tau9 Labs,Sign >$300k of enterprise deals (1-2 deals),Book calls with 5 prospects from the funnel. ,,,,,,,,,
10,Short Story,,,,,,,,,,,
10,Portfolio Pilot,,,,,,,,,,,
10,Coach,,,,,,,,,,,
